Name,Graves Disease,Head Injury,Lymphocyte Counts,Eosinophil Counts,MedicationUseThyroidPreparation,Hypothyroidism,HashimotoThyroiditis,PediatricAsthma,MedicationUseGlucocorticoids,MedicationUseAdrenergicsInhalants,AtopicDermatitis,BasophilCount,MonocyteCount,AspartateAminotransferaseLevels,AcuteGlomeruloNephritis,CerebralAneurysm,SystolicBloodPressure,MeanArterialPressure,PulmonaryFibrosis,Pleurisy,ChronicHepatitisCInfection,MeanCorpuscularHemoglobin,MeanCorpuscularHemoglobinConcentration,MeanCorpuscularVolume,RedBloodCellCount,Hemoglobin,HemoglobinA1cLevels,PlateletCount,ChronicHeartFailure,MedicationUseAgentsActingOnTheReninAngiotensinSystem,UnstableAnginaPectoris,StableAnginaPectoris,MyocardialInfarction,DiastolicBloodPressure,Height,CompressionFracture,StevensJohnsonSyndrome,CesarianSection,GastricCancer,BreastCancer,BloodUreaNitrogenLevels,SerumCreatinineLevels,ProstateCancer,GammaGlutamylTranspeptidase,CalciumLevels,SerumUricAcidLevels,Type1Diabetes,Type2Diabetes,GlucoseLevels,MedicationUseDrugsUsedInDiabetes,ChronicPancreatitis,PolycysticKidneyDisease,BodyMassIndex,BackPain,MedicationUseAntiInflammatoryAndAntiRheumaticProductsNonSteroids,PulsePressure,MedicationUseCalciumChannelBlockers,AlanineAminotransferaseLevels,TotalCholestrolLevels
(Adult) Macrophage General,0.405357081,0.427566127,0.442849481,1,0.999990527,0.999771181,0.999904719,0.999884532,0.999999443,0.999117682,0.997181788,0.000899943,1.39E-08,0.223785099,0.811749146,0.97996127,0.999879137,0.999309934,0.653529371,0.749877611,0.9491926,0.999939253,0.985071189,0.999892384,0.999993749,0.999999976,0.451062896,0.647709532,0.676637861,0.937142063,0.998668908,0.999957488,0.99974979,0.998718404,0.999993261,0.975741415,0.273834367,0.812604266,0.279689126,0.927011831,0.999989169,0.999990423,0.994119482,0.999015744,0.999917836,0.999987328,0.998983359,0.558528588,0.999503019,0.975886533,0.368493123,0.676004195,0.965863965,0.513538002,0.869475448,0.76647759,0.999956195,0.999510522,0.999945874
(Adult) Memory B,0.189830462,0.226723752,0.27655351,1,0.999990527,0.999771181,0.999904719,0.999884532,0.999999443,0.999117682,0.997181788,0.014547101,5.88E-07,0.034049688,0.811749146,0.899279521,0.999879137,0.999309934,0.576512313,0.749877611,0.9491926,0.999939253,0.985071189,0.999892384,0.999993749,0.999999976,0.451062896,0.99999998,0.286811795,0.988456703,0.998668908,0.999957488,0.99974979,0.998718404,0.999993261,0.961726276,0.321124249,0.643795363,0.314057749,0.927011831,0.999989169,0.999990423,0.994119482,0.999015744,0.842492845,0.999987328,0.998983359,0.884083222,0.999503019,0.975886533,0.362490706,0.541977676,0.982881176,0.537347005,0.869475448,0.712550999,0.999956195,0.999510522,0.999945874
(Adult) Natural Killer T,0.000844361,0.427566127,3.80E-05,0.000973299,0.114554944,0.05076172,0.090098853,0.019220553,0.704497493,0.999117682,0.997181788,0.474180247,0.623478308,0.932740217,0.919863109,0.953287988,0.999879137,0.999309934,0.455663195,0.749877611,0.9491926,0.999939253,0.985071189,0.722521991,0.999993749,0.999999976,0.437368043,0.99999998,0.987934935,0.949356873,0.998668908,0.999957488,0.99974979,0.998718404,0.999993261,0.417722045,0.604270039,0.557610613,0.298708059,0.995288859,0.999989169,0.999990423,0.994119482,0.999015744,0.999917836,0.999987328,0.998983359,0.930855304,0.999503019,0.975886533,0.2007595,0.785658582,0.965863965,0.702868603,0.61538678,0.822211955,0.999956195,0.999510522,0.999945874
(Adult) T Lymphocyte 1 CD8,0.003637969,0.12766251,1.93E-06,5.01E-06,3.61E-05,1.01E-05,0.007936836,4.25E-05,0.00390923,0.036972803,0.048078881,0.998669273,0.915884509,0.932740217,0.811749146,0.92454298,0.999879137,0.999309934,0.280970104,0.890133079,0.974203652,0.999939253,0.985071189,0.999892384,0.999993749,0.999999976,0.867514516,0.99999998,0.947667692,0.999445496,0.998668908,0.999957488,0.99974979,0.998718404,0.999993261,0.261208252,0.840670693,0.964854873,0.297274154,0.981994848,0.999989169,0.999990423,0.994119482,0.999015744,0.999917836,0.999987328,0.996737869,0.964114412,0.999503019,0.975886533,0.33783711,0.676004195,0.965863965,0.756497849,0.768037188,0.713856905,0.999956195,0.999510522,0.999945874
(Adult) T Lymphocyte 2 CD4,0.016871177,0.047593391,0.000768881,2.02E-06,0.002083048,0.001751237,0.018175416,0.000370193,0.025825979,0.036972803,0.048078881,0.998669273,0.999957643,0.964388189,0.811749146,0.871463196,0.999879137,0.999309934,0.381821484,0.889395581,0.9491926,0.999939253,0.985071189,0.999892384,0.999993749,0.999999976,0.770608103,0.99999998,0.987934935,0.97451712,0.998668908,0.999957488,0.99974979,0.998718404,0.999993261,0.243897731,0.539329244,0.807342988,0.253371579,0.995288859,0.999989169,0.999990423,0.994119482,0.999015744,0.999917836,0.999987328,0.998983359,0.884083222,0.999503019,0.975886533,0.207962512,0.587420021,0.965863965,0.784973757,0.501166045,0.713856905,0.999956195,0.999510522,0.999945874
(Fetal) Hemtopoetic Stem,0.666404639,0.13275255,0.999999997,1,0.999982748,0.999979046,0.998319619,0.9995035,0.998851383,0.999848046,0.999976327,0.251209779,0.814836751,0.999912891,0.539426006,0.90848041,0.999992392,0.999997634,0.393116162,0.535394893,0.442026288,0.325577881,0.993901507,0.561326484,0.999999994,1,0.999945997,0.065081994,0.849811839,0.999993755,0.999942835,0.999915887,0.999999952,0.999996359,0.999994772,0.859401919,0.478332538,0.643119281,0.849147038,0.999524326,0.999977492,1,0.998197384,0.999967953,0.999999802,0.999992186,0.996111174,0.90036358,0.999997984,0.971981326,0.142847059,0.284287803,0.579702458,0.430905773,0.665418284,0.883567937,0.999999649,0.999998434,0.999920349
(Fetal) T Lymphocyte 4 FASLG+,0.324347554,0.145162406,0.999999997,1,0.999982748,0.999979046,0.998319619,0.9995035,0.998851383,0.999848046,0.999976327,0.446904013,0.999999999,0.999912891,0.859785956,0.987743386,0.999992392,0.999997634,0.393116162,0.579851931,0.30495361,0.632157945,0.993901507,0.574566357,0.999999994,1,0.999945997,0.999999751,0.935799186,0.999993755,0.999942835,0.999915887,0.999999952,0.999996359,0.999994772,0.662826853,0.413432516,0.603659438,0.958249916,0.999524326,0.999977492,1,0.998197384,0.999967953,0.999999802,0.999992186,0.996111174,0.661626681,0.999997984,0.89503805,0.196151261,0.261165882,0.705716727,0.566029202,0.427426376,0.675433696,0.999999649,0.999998434,0.999920349
(Fetal) B Lymphocyte 3 NPY+,0.096009845,0.131113955,0.999999997,1,0.999982748,0.999979046,0.998319619,0.9995035,0.998851383,0.999848046,0.999976327,0.540920392,0.999999999,0.999912891,0.616825506,0.987743386,0.999992392,0.999997634,0.60809377,0.579851931,0.442026288,0.794532347,0.993901507,0.740291866,0.999999994,1,0.999945997,0.999999751,0.816454062,0.999993755,0.999942835,0.999915887,0.999999952,0.999996359,0.999994772,0.949799216,0.822310047,0.643119281,0.849147038,0.999524326,0.999977492,1,0.998197384,0.999967953,0.999999802,0.999992186,0.996111174,0.980602261,0.999997984,0.971981326,0.400377468,0.318659734,0.513929284,0.685866903,0.405665209,0.940880834,0.999999649,0.999998434,0.999920349
(Fetal) Macrophage General 1,0.324347554,0.232488833,0.999999997,1,0.999982748,0.999979046,0.998319619,0.9995035,0.998851383,0.999848046,0.999976327,0.232218661,0.000137048,0.711103123,0.055238537,0.987743386,0.999992392,0.999997634,0.393116162,0.535394893,0.464707913,0.999860706,0.993901507,0.999996815,0.999999994,1,0.785721629,0.999999751,0.846399805,0.999993755,0.999942835,0.999915887,0.999999952,0.999996359,0.999994772,0.988197347,0.441109733,0.603659438,0.840390355,0.999524326,0.999977492,1,0.998197384,0.999967953,0.999999802,0.999992186,0.996111174,0.580722046,0.999997984,0.971981326,0.552570269,0.51705027,0.805556441,0.430905773,0.427426376,0.675433696,0.999999649,0.999998434,0.999920349
(Fetal) Macrophage General 2,0.581347731,0.088217016,0.999999997,1,0.999982748,0.999979046,0.998319619,0.9995035,0.998851383,0.999848046,0.999976327,0.405059398,0.46831474,0.999912891,0.116444459,0.987743386,0.999992392,0.999997634,0.467940001,0.294296912,0.28675719,0.999860706,0.993901507,0.999996815,0.999999994,1,0.999945997,0.999999751,0.639464899,0.866456987,0.999942835,0.999915887,0.999999952,0.999996359,0.440581216,0.964682243,0.413432516,0.603659438,0.840390355,0.999524326,0.999977492,1,0.998197384,0.999967953,0.999999802,0.999992186,0.996111174,0.805414429,0.999997984,0.971981326,0.311243982,0.546351016,0.786729182,0.335277229,0.674302148,0.854549296,0.999999649,0.999998434,0.999920349
(Fetal) Macrophage General 3,0.448931905,0.13275255,0.999999997,0.648857571,0.999982748,0.999979046,0.998319619,0.9995035,0.998851383,0.999848046,0.999976327,0.083048754,0.000492862,0.999912891,0.616825506,0.987743386,0.999992392,0.999997634,0.417058084,0.551815654,0.339154066,0.999860706,0.993901507,0.999996815,0.999999994,1,0.69344558,0.839685374,0.935799186,0.866456987,0.999942835,0.999915887,0.999999952,0.999996359,0.999994772,0.988197347,0.413432516,0.603659438,0.840390355,0.999524326,0.999977492,1,0.998197384,0.999967953,0.999999802,0.999992186,0.996111174,0.819587905,0.999997984,0.971981326,0.560824101,0.370662243,0.76030335,0.482816294,0.527432722,0.753768039,0.999999649,0.999998434,0.999920349
(Fetal) Macrophage General 4,0.096009845,0.108808392,0.999999997,0.658999306,0.999982748,0.999979046,0.998319619,0.9995035,0.998851383,0.999848046,0.999976327,0.405059398,0.014277516,0.999912891,0.468292042,0.987743386,0.999992392,0.999997634,0.417465532,0.579851931,0.615494925,0.999860706,0.993901507,0.999996815,0.999999994,1,0.999945997,0.999999751,0.965786092,0.999993755,0.999942835,0.999915887,0.999999952,0.999996359,0.999994772,0.988197347,0.413432516,0.538401647,0.849147038,0.999524326,0.999977492,1,0.998197384,0.999967953,0.999999802,0.999992186,0.996111174,0.90036358,0.999997984,0.971981326,0.384814207,0.432638602,0.860609367,0.430905773,0.427426376,0.883538028,0.999999649,0.999998434,0.999920349
(Fetal) Macrophage Placental,0.355324721,0.185442768,0.999999997,1,0.999982748,0.999979046,0.998319619,0.9995035,0.998851383,0.999848046,0.999976327,0.253540604,0.025042019,0.999912891,0.02017617,0.987743386,0.999992392,0.999997634,0.443291246,0.30960756,0.49740064,0.999860706,0.993901507,0.999996815,0.999999994,1,0.531018435,0.999999751,0.816454062,0.999993755,0.999942835,0.999915887,0.999999952,0.999996359,0.999994772,0.964682243,0.413432516,0.656309575,0.692658136,0.999524326,0.999977492,1,0.998197384,0.999967953,0.999999802,0.999992186,0.996111174,0.894753562,0.999997984,0.971981326,0.777007512,0.391776784,0.931608452,0.543728677,0.724371941,0.675433696,0.999999649,0.999998434,0.999920349
(Fetal) Macrophage Hepatic 1,0.355324721,0.341592858,0.067571754,1,0.999982748,0.999979046,0.998319619,0.9995035,0.998851383,0.999848046,0.999976327,0.232218661,0.000137048,0.711103123,0.082956718,0.987743386,0.999992392,0.999997634,0.442486747,0.494228524,0.442026288,0.999860706,0.993901507,0.999996815,0.999999994,1,0.808112349,0.602977407,0.639464899,0.999993755,0.999942835,0.999915887,0.999999952,0.999996359,0.999994772,0.984613199,0.413432516,0.716232954,0.840390355,0.999524326,0.999977492,1,0.998197384,0.999967953,0.999999802,0.999992186,0.996111174,0.713715279,0.999997984,0.971981326,0.496525587,0.692265128,0.786729182,0.288847585,0.719800981,0.675433696,0.999999649,0.999998434,0.999920349
(Fetal) Macrophage Hepatic 2,0.430644293,0.158483389,0.999999997,1,0.999982748,0.999979046,0.998319619,0.9995035,0.998851383,0.999848046,0.999976327,0.251258426,0.008459035,0.999912891,0.116444459,0.994228618,0.999992392,0.999997634,0.393116162,0.494228524,0.24754147,0.000141008,0.005734518,0.000295732,0.030033412,0.754449664,0.001981058,0.328551647,0.962787234,0.999993755,0.999942835,0.999915887,0.999999952,0.999996359,0.999994772,0.964682243,0.438412268,0.643119281,0.849147038,0.999524326,0.999977492,1,0.998197384,0.999967953,0.999999802,0.999992186,0.996111174,0.593454124,0.999997984,0.971981326,0.48845741,0.325737873,0.844842962,0.685866903,0.674302148,0.778103761,0.999999649,0.999998434,0.999920349
(Fetal) Megakaryocyte,0.844778263,0.200102587,0.999999997,1,0.999982748,0.999979046,0.998319619,0.9995035,0.998851383,0.999848046,0.999976327,0.331363199,0.754985488,0.999912891,0.468292042,0.987743386,0.999992392,0.999997634,0.45391461,0.494228524,0.161759645,0.007160186,0.000335301,0.00037972,0.30127402,0.72137142,0.280030366,4.01E-09,0.639464899,0.999993755,0.999942835,0.999915887,0.999999952,0.999996359,0.645031576,0.949799216,0.82377073,0.807303393,0.997667889,0.999524326,0.999977492,1,0.871264632,0.999967953,0.999999802,0.999992186,0.996111174,0.593454124,0.999997984,0.89503805,0.194605242,0.443939067,0.579702458,0.639196495,0.45917044,0.832472065,0.999999649,0.999998434,0.999920349
(Fetal) Thymocyte,0.033442668,0.194121158,0.525163093,0.318996509,0.226396005,0.199690397,0.998319619,0.9995035,0.065811855,0.999848046,0.999976327,0.083048754,0.999999999,0.999912891,0.723356273,0.987743386,0.999992392,0.999997634,0.393116162,0.900259016,0.366081379,0.120921509,0.993901507,0.038486798,0.999999994,1,0.999945997,0.999999751,0.819099657,0.999993755,0.999942835,0.999915887,0.999999952,0.999996359,0.999994772,0.795995447,0.768103094,0.784039154,0.958249916,0.999524326,0.999977492,1,0.998197384,0.999967953,0.999999802,0.999992186,0.996111174,0.980602261,0.999997984,0.971981326,0.556149683,0.362348456,0.496593834,0.543728677,0.427426376,0.675433696,0.999999649,0.999998434,0.999920349
(Adult) Blood Brain Barrier Endothelial,0.609876629,0.31880635,0.999999017,1,0.999990527,0.999771181,0.999904719,0.999884532,0.999999443,0.999117682,0.997181788,0.998669273,0.999957643,0.561961712,0.811749146,0.267398841,0.78141277,0.999309934,0.557789715,0.749877611,0.786392103,0.999939253,0.985071189,0.999892384,0.999993749,0.999999976,0.976627747,0.99999998,0.410772366,0.807206408,0.998668908,0.999957488,0.99974979,0.566002386,0.238247497,0.548120903,0.420449538,0.503322187,0.704342101,0.995288859,0.999989169,0.999990423,0.984050078,0.999015744,0.999917836,0.999987328,0.998983359,0.964360934,0.999503019,0.975886533,0.653841528,0.430741413,0.965863965,0.650804273,0.321966925,0.862183316,0.999956195,0.999510522,0.999945874
(Adult) Lymphatic,0.573188712,0.688010742,0.999999017,1,0.999990527,0.999771181,0.999904719,0.999884532,0.999999443,0.999117682,0.997181788,0.998669273,0.999957643,0.796375382,0.811749146,0.174959131,0.999879137,0.999309934,0.721490099,0.757858446,0.786392103,0.999939253,0.985071189,0.999892384,0.999993749,0.84149229,0.461686953,0.99999998,0.347342887,0.937142063,0.998668908,0.944217374,0.19442705,0.339970777,0.425634851,0.236391035,0.558057894,0.452929662,0.253371579,0.927011831,0.999989169,0.999990423,0.999082931,0.930326901,0.999917836,0.999987328,0.998983359,0.794218599,0.999503019,0.837349848,0.388600398,0.676004195,0.97578454,0.49843347,0.869475448,0.798400196,0.999956195,0.999510522,0.999945874
(Adult) Endothelial Exocrine,0.535074696,0.427566127,0.53690251,1,0.999990527,0.999771181,0.999904719,0.999884532,0.999999443,0.999117682,0.997181788,0.998669273,0.85042546,0.502502321,0.891479194,0.087937123,0.999879137,0.999309934,0.557789715,0.749877611,0.818277539,0.999939253,0.985071189,0.999892384,0.999993749,0.768325017,0.660668991,0.647709532,0.341566851,0.937142063,0.13186769,0.592313504,0.078154081,0.442967917,0.17742451,0.440975051,0.39080212,0.368870058,0.253371579,0.981994848,0.999989169,0.999990423,0.994119482,0.999015744,0.999917836,0.999987328,0.998983359,0.978759172,0.999503019,0.975886533,0.415702596,0.541977676,0.965863965,0.49843347,0.656566638,0.930977385,0.999956195,0.999510522,0.999945874
(Adult) Endothelial General 1,0.535074696,0.317427762,0.999999017,1,0.999990527,0.999771181,0.999904719,0.999884532,0.999999443,0.999117682,0.997181788,0.998669273,0.999957643,0.375711163,0.811749146,0.014738951,0.018862836,0.049222238,0.497174682,0.749877611,0.7306839,0.999939253,0.985071189,0.999892384,0.999993749,0.318051139,0.627936133,0.99999998,0.125671859,0.0696396,0.072706311,0.101164591,0.008480905,0.008338729,0.028520273,0.188954383,0.365623918,0.499071726,0.279689126,0.981994848,0.999989169,0.999990423,0.994119482,0.999015744,0.999917836,0.999987328,0.998983359,0.884083222,0.999503019,0.975886533,0.464110911,0.464523967,0.965863965,0.582924641,0.321966925,0.712550999,0.999956195,0.999510522,0.999945874
(Adult) Endothelial General 2,0.644337535,0.31880635,0.999999017,1,0.999990527,0.999771181,0.999904719,0.999884532,0.999999443,0.999117682,0.997181788,0.998669273,0.999957643,0.223785099,0.811749146,0.026518358,0.032638849,0.127471691,0.280970104,0.749877611,0.9491926,0.999939253,0.985071189,0.999892384,0.999993749,0.608261624,0.816139428,0.99999998,0.435981227,0.150171363,0.536073187,0.527295135,0.24229338,0.024749885,0.100709148,0.225943523,0.321124249,0.499071726,0.253371579,0.927011831,0.999989169,0.999990423,0.994119482,0.990241174,0.999917836,0.999987328,0.998983359,0.930855304,0.999503019,0.975886533,0.292990707,0.507162441,0.965863965,0.799424815,0.61538678,0.774566858,0.999956195,0.999510522,0.999945874
(Adult) Endothelial General 3,0.519082629,0.212854944,0.939190396,1,0.999990527,0.999771181,0.999904719,0.999884532,0.999999443,0.999117682,0.997181788,0.998669273,0.999957643,0.223785099,0.811749146,0.010513409,0.386462673,0.417553838,0.335032052,0.757858446,0.844678597,0.999939253,0.985071189,0.999892384,0.999993749,0.318051139,0.418201942,0.99999998,0.198116425,0.150171363,0.246479284,0.322725127,0.060987808,0.138342233,0.066914072,0.225943523,0.395511622,0.499071726,0.253371579,0.995288859,0.999989169,0.999990423,0.994119482,0.999015744,0.999917836,0.999987328,0.998983359,0.930855304,0.999503019,0.975886533,0.28709492,0.673458623,0.965863965,0.521202487,0.678334824,0.854678998,0.999956195,0.999510522,0.999945874
(Adult) Endocardial,0.609876629,0.317427762,0.999999017,1,0.999990527,0.999771181,0.999904719,0.999884532,0.999999443,0.999117682,0.997181788,0.998669273,0.999957643,0.932740217,0.811749146,0.261216352,0.321643254,0.444753921,0.033268478,0.749877611,0.849601958,0.999939253,0.985071189,0.999892384,0.999993749,0.777241407,0.628392147,0.99999998,0.477442679,0.621873756,0.842299503,0.205479688,0.058572347,0.07274577,0.03659055,0.139789349,0.338279778,0.4175118,0.333756016,0.705157301,0.999989169,0.999990423,0.994119482,0.999015744,0.999917836,0.999987328,0.998983359,0.884083222,0.999503019,0.975886533,0.2007595,0.553884792,0.965863965,0.784973757,0.768037188,0.774566858,0.999956195,0.999510522,0.999945874
